Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),preparation,micronutrient_density,clusters
0.0,0.002,0.6,2.6,37.9,corn grits cooked,1.5,182.0,0.3,2.1,1.2,4.4,cooked,4.963369963369963,6
1.0,0.025,0.067,6.5,27.0,amaranth flakes,0.7,134.0,0.2,3.6,2.7,5.9,other,8.768656716417912,6
0.7,0.017,0.01,45.6,32.3,granola,2.4,293.0,11.9,5.3,14.6,8.2,other,7.463755433038709,6
0.0,177.6,0.1,25.8,45.7,muesli with fruit nuts,5.9,231.0,14.2,5.8,3.4,4.3,other,58.338698338698336,1
0.0,0.0,0.0,0.0,4.5,muesli master crumble,0.0,124.0,0.042,0.0,2.4,2.4,other,0.0,0
0.7,0.5,0.2,0.025,32.2,bran flakes,0.3,131.0,7.4,7.3,0.8,4.0,other,78.20333398577674,6
10.7,0.3,0.3,75.6,46.2,nut cereal,10.3,245.0,17.2,3.6,5.9,4.0,other,61.1944880516309,1
0.5,1.3,0.2,0.0,24.6,corn flakes,0.083,108.0,2.2,0.8,0.3,1.7,other,93.53395061728395,6
0.0,0.08,0.054,0.4,7.7,corn grits dry,0.3,36.0,0.008,0.4,0.2,0.7,other,60.27065527065527,0
0.004,0.064,0.016,0.008,0.8,cream cheese,0.082,51.0,0.5,0.0,5.0,0.9,other,32.27571644042232,0
0.0,0.079,0.3,99.5,3.1,neufchatel cheese,0.1,215.0,2.7,0.0,19.4,7.8,other,13.004372888093819,0
0.0,0.0,0.0,0.0,0.9,requeijao cremoso light catupiry,0.0,49.0,3.4,0.1,3.6,0.8,other,0.0,0
0.006,0.079,0.017,0.097,1.5,ricotta cheese,0.097,30.0,0.091,0.0,2.0,1.5,other,67.67672364672363,0
0.0,0.062,0.046,22.2,1.2,cream cheese low fat,0.008,30.0,0.9,0.0,2.3,1.2,other,57.50712250712251,0
0.0,0.089,0.1,63.2,1.4,cream cheese fat free,0.053,19.0,1.0,0.0,0.2,2.8,other,144.24201529464688,0
0.0,0.072,0.2,283.1,0.1,gruyere cheese,0.094,116.0,0.1,0.0,9.1,8.3,other,34.74064249926319,0
0.0,0.005,0.2,198.8,0.9,cheddar cheese,0.077,113.0,0.1,0.0,9.3,6.4,other,15.01777475228803,0
